Category,Game,Items,Item Details,game_devices,game_regions,game_servers,game_series,game_orbs,game_dependent_items
Currency,Rocket League(Credits),Device,,"PC,Playstation,Xbox",,,,,
Currency,OSRS(Gold),Simple,,,,,,,
Currency,Forza Horizon 5(Credits),Device,,"PC,Xbox",,,,,
Currency,Warframe(Platinum),Device,"Device: Nintendo Switch,PC,Playstation,Xbox","Nintendo Switch,PC,Playstation,Xbox",,,,,
Currency,Elden Ring(Runes),Device,"Device:PC,Playstation,Xbox","PC,Playstation,Xbox",,,,,
Currency,MapleStory,Server,"Server:Aurora,Bera,Elysium,Luna,Reboot(EU),Reboot(NA),Scania",,,"Aurora,Bera,Elysium,Luna,Reboot(EU),Reboot(NA),Scania",,,
Currency,Runescape FSW,Simple,,,,,,,
Currency,Undecember,Region,"Region:America,Asia,Europe",,"America,Asia,Europe",,,,
Currency,"
OSRS FSW",Simple,,,,,,,
Currency,"
World of Warcraft WotLK",Dependent,"Region: EU,NA,Oceaic ||  Faction:Alliance,Horde ||Server :Different",,,,,,"[{""item_type"":""game_regions"",""item_id"":[""EU"",""NA"",""Oceanic""],""is_dependent"":true,""dependent_to"":""game_servers"",""dependencies"":[{""parent_id"":""EU"",""item_id"":[""Amnennar"",""Ashbringer"",""Auberdine"",""Chromie"",""Earthshaker"",""Everlook"",""Firemaw"",""Flamegor"",""Gehennas"",""Giantstalker"",""Golemagg"",""Jin’do"",""Lakeshire"",""Mandokir"",""Mirage Raceway"",""Mograine"",""Nethergarde Keep"",""Patchwerk"",""Pyrewood Village"",""Razorfen"",""Razorgore"",""Sulfuron"",""Thekal"",""Transcendence"",""Venoxis""]},{""parent_id"":""NA"",""item_id"":[""Angerforge"",""Ashkandi"",""Atiesh"",""Azuresong"",""Benediction"",""Bloodsail Buccaneers"",""Earthfury"",""Eranikus"",""Faerlina"",""Grobbulus"",""Maladath"",""Mankrik"",""Myzrael"",""Old Blanchy"",""Pagle"",""Skyfury"",""Sulfuras"",""Westfall"",""Whitemane"",""Windseeker""]},{""parent_id"":""Oceanic"",""item_id"":[""Arugal"",""Remulos"",""Yojamba""]}]},{""item_type"":""game_factions"",""item_id"":[""Alliance"",""Horde""],""is_dependent"":false}]"
Currency,Escape from Tarkov,Simple,,,,,,,
